Sample,Time(S),CH1(V),CH2(V)
167,-8.025,0.113025,-0.0732059
168,-8.024,0.113025,-0.0732059
169,-8.023,0.113025,-0.0732059
170,-8.022,0.113025,-0.0732059
171,-8.021,0.113025,-0.0732059
172,-8.02,0.113025,-0.0732059
173,-8.019,0.113025,-0.0732059
174,-8.018,0.113025,-0.0732059
175,-8.017,0.113025,-0.0732059
176,-8.016,0.113025,-0.0732059
177,-8.015,0.113025,-0.0732059
178,-8.014,0.113025,-0.0732059
179,-8.013,0.113025,-0.0732059
180,-8.012,0.113025,-0.0732059
181,-8.011,0.113025,-0.0732059
182,-8.01,0.113025,-0.0732059
183,-8.009,0.113025,-0.0732059
184,-8.008,0.113025,-0.0732059
185,-8.007,0.113025,-0.0732059
186,-8.006,0.113025,-0.0732059
187,-8.005,0.113025,-0.0732059
188,-8.004,0.113025,-0.0732059
189,-8.003,0.113025,-0.0732059
190,-8.002,0.113025,-0.0732059
191,-8.001,0.113025,-0.0732059
192,-8,0.113025,-0.0732059
193,-7.999,0.113025,-0.0732059
194,-7.998,0.113025,-0.0732059
195,-7.997,0.113025,-0.0732059
196,-7.996,0.113025,-0.0732059
197,-7.995,0.113025,-0.0732059
198,-7.994,0.113025,-0.0732059
199,-7.993,0.113025,-0.0732059
200,-7.992,0.113025,-0.0732059
201,-7.991,0.113025,-0.0732059
202,-7.99,0.113025,-0.0732059
203,-7.989,0.113025,-0.0732059
204,-7.988,0.113025,-0.0732059
205,-7.987,0.113025,-0.0732059
206,-7.986,0.113025,-0.0732059
207,-7.985,0.113025,-0.0732059
208,-7.984,0.113025,-0.0732059
209,-7.983,0.113025,-0.0732059
210,-7.982,0.113025,-0.0732059
211,-7.981,0.113025,-0.0732059
212,-7.98,0.113025,-0.0732059
213,-7.979,0.113025,-0.0732059
214,-7.978,0.113025,-0.0732059
215,-7.977,0.113025,-0.0732059
216,-7.976,0.113025,-0.0732059
217,-7.975,0.113025,-0.0732059
218,-7.974,0.113025,-0.0732059
219,-7.973,0.113025,-0.0732059
220,-7.972,0.113025,-0.0732059
221,-7.971,0.113025,-0.0732059
222,-7.97,0.113025,-0.0732059
223,-7.969,0.113025,-0.0732059
224,-7.968,0.113025,-0.0732059
225,-7.967,0.113025,-0.0732059
226,-7.966,0.113025,-0.0732059
227,-7.965,0.113025,-0.0732059
228,-7.964,0.113025,-0.0732059
229,-7.963,0.113025,-0.0732059
230,-7.962,0.113025,-0.0732059
231,-7.961,0.113025,-0.0732059
232,-7.96,0.113025,-0.0732059
233,-7.959,0.113025,-0.0732059
234,-7.958,0.113025,-0.0732059
235,-7.957,0.113025,-0.0732059
236,-7.956,0.113025,-0.0732059
237,-7.955,0.113025,-0.0732059
238,-7.954,0.113025,-0.0732059
239,-7.953,0.113025,-0.0732059
240,-7.952,0.113025,-0.0732059
241,-7.951,0.113025,-0.0732059
242,-7.95,0.113025,-0.0732059
243,-7.949,0.113025,-0.0732059
244,-7.948,0.113025,-0.0732059
245,-7.947,0.113025,-0.0732059
246,-7.946,0.113025,-0.0732059
247,-7.945,0.113025,-0.0732059
248,-7.944,0.113025,-0.0732059
249,-7.943,0.113025,-0.0732059
250,-7.942,0.113025,-0.0732059
251,-7.941,0.113025,-0.0732059
252,-7.94,0.113025,-0.0732059
253,-7.939,0.113025,-0.0732059
254,-7.938,0.113025,-0.0732059
255,-7.937,0.113025,-0.0732059
256,-7.936,0.113025,-0.0732059
257,-7.935,0.113025,-0.0732059
258,-7.934,0.113025,-0.0732059
259,-7.933,0.113025,-0.0732059
260,-7.932,0.113025,-0.0732059
261,-7.931,0.113025,-0.0732059
262,-7.93,0.113025,-0.0732059
263,-7.929,0.113025,-0.0732059
264,-7.928,0.113025,-0.0732059
265,-7.927,0.113025,-0.0732059
266,-7.926,0.113025,-0.0732059
267,-7.925,0.113025,-0.0732059
268,-7.924,0.113025,-0.0732059
269,-7.923,0.113025,-0.0732059
270,-7.922,0.113025,-0.0732059
271,-7.921,0.113025,-0.0732059
272,-7.92,0.113025,-0.0732059
273,-7.919,0.113025,-0.0732059
274,-7.918,0.113025,-0.0732059
275,-7.917,0.113025,-0.0732059
276,-7.916,0.113025,-0.0732059
277,-7.915,0.113025,-0.0732059
278,-7.914,0.113025,-0.0732059
279,-7.913,0.113025,-0.0732059
280,-7.912,0.113025,-0.0732059
281,-7.911,0.113025,-0.0732059
282,-7.91,0.113025,-0.0732059
283,-7.909,0.113025,-0.0732059
284,-7.908,0.113025,-0.0732059
285,-7.907,0.113025,-0.0732059
286,-7.906,0.113025,-0.0732059
287,-7.905,0.113025,-0.0732059
