Sample,Time(S),CH1(V),CH2(V)
146,-7.854,0.113025,-0.0732059
147,-7.853,0.113025,-0.0732059
148,-7.852,0.113025,-0.0732059
149,-7.851,0.113025,-0.0549044
150,-7.85,0.113025,-0.0549044
151,-7.849,0.113025,-0.0732059
152,-7.848,0.113025,-0.0732059
153,-7.847,0.113025,-0.0549044
154,-7.846,0.113025,-0.0549044
155,-7.845,0.113025,-0.0549044
156,-7.844,0.113025,-0.0549044
157,-7.843,0.113025,-0.0732059
158,-7.842,0.113025,-0.0732059
159,-7.841,0.113025,-0.0732059
160,-7.84,0.113025,-0.0732059
161,-7.839,0.113025,-0.0732059
162,-7.838,0.113025,-0.0732059
163,-7.837,0.113025,-0.0732059
164,-7.836,0.113025,-0.0732059
165,-7.835,0.113025,-0.0732059
166,-7.834,0.113025,-0.0732059
167,-7.833,0.113025,-0.0732059
168,-7.832,0.113025,-0.0732059
169,-7.831,0.113025,-0.0732059
170,-7.83,0.113025,-0.0732059
171,-7.829,0.113025,-0.0732059
172,-7.828,0.113025,-0.0732059
173,-7.827,0.113025,-0.0732059
174,-7.826,0.113025,-0.0732059
175,-7.825,0.113025,-0.0732059
176,-7.824,0.113025,-0.0732059
177,-7.823,0.113025,-0.0732059
178,-7.822,0.113025,-0.0732059
179,-7.821,0.113025,-0.0732059
180,-7.82,0.113025,-0.0732059
181,-7.819,0.113025,-0.0732059
182,-7.818,0.113025,-0.0732059
183,-7.817,0.113025,-0.0732059
184,-7.816,0.113025,-0.0732059
185,-7.815,0.113025,-0.0732059
186,-7.814,0.113025,-0.0732059
187,-7.813,0.113025,-0.0732059
188,-7.812,0.113025,-0.0732059
189,-7.811,0.113025,-0.0366029
190,-7.81,0.113025,-0.0549044
191,-7.809,0.113025,-0.0549044
192,-7.808,0.113025,-0.0549044
193,-7.807,0.113025,-0.0732059
194,-7.806,0.113025,-0.0366029
195,-7.805,0.113025,-0.0366029
196,-7.804,0.113025,-0.0732059
197,-7.803,0.113025,-0.0732059
198,-7.802,0.113025,-0.0732059
199,-7.801,0.113025,-0.0732059
200,-7.8,0.113025,-0.0732059
201,-7.799,0.113025,-0.0732059
202,-7.798,0.113025,-0.0732059
203,-7.797,0.113025,-0.0732059
204,-7.796,0.113025,-0.0732059
205,-7.795,0.113025,-0.0732059
206,-7.794,0.113025,-0.0732059
207,-7.793,0.113025,-0.0549044
208,-7.792,0.113025,-0.0549044
209,-7.791,0.113025,-0.0366029
210,-7.79,0.113025,-0.0732059
211,-7.789,0.113025,-0.0549044
212,-7.788,0.113025,-0.0549044
213,-7.787,0.113025,-0.0549044
214,-7.786,0.113025,-0.0549044
215,-7.785,0.113025,-0.0549044
216,-7.784,0.113025,-0.0366029
217,-7.783,0.113025,-0.0732059
218,-7.782,0.113025,-0.0732059
219,-7.781,0.113025,-0.0732059
220,-7.78,0.113025,-0.0732059
221,-7.779,0.113025,-0.0732059
222,-7.778,0.113025,-0.0732059
223,-7.777,0.113025,-0.0732059
224,-7.776,0.113025,-0.0732059
225,-7.775,0.113025,-0.0732059
226,-7.774,0.113025,-0.0732059
227,-7.773,0.113025,-0.0732059
228,-7.772,0.113025,-0.0732059
229,-7.771,0.113025,-0.0732059
230,-7.77,0.113025,-0.0732059
231,-7.769,0.113025,-0.0732059
232,-7.768,0.113025,-0.0732059
233,-7.767,0.113025,-0.0732059
234,-7.766,0.113025,-0.0732059
235,-7.765,0.113025,-0.0732059
236,-7.764,0.113025,-0.0732059
237,-7.763,0.113025,-0.0732059
238,-7.762,0.113025,-0.0732059
239,-7.761,0.113025,-0.0732059
240,-7.76,0.113025,-0.0732059
241,-7.759,0.113025,-0.0732059
242,-7.758,0.113025,-0.0732059
243,-7.757,0.113025,-0.0732059
244,-7.756,0.113025,-0.0732059
245,-7.755,0.113025,-0.0732059
246,-7.754,0.113025,-0.0732059
247,-7.753,0.113025,-0.0732059
248,-7.752,0.113025,-0.0549044
249,-7.751,0.113025,-0.0549044
250,-7.75,0.113025,-0.0366029
251,-7.749,0.113025,-0.0732059
252,-7.748,0.113025,-0.0549044
253,-7.747,0.113025,-0.0549044
254,-7.746,0.113025,-0.0549044
255,-7.745,0.113025,-0.0366029
256,-7.744,0.113025,-0.0732059
257,-7.743,0.113025,-0.0732059
258,-7.742,0.113025,-0.0732059
259,-7.741,0.113025,-0.0732059
260,-7.74,0.113025,-0.0732059
261,-7.739,0.113025,-0.0732059
262,-7.738,0.113025,-0.0732059
263,-7.737,0.113025,-0.0732059
