epochs_tuner,kfold_acc,test_accuracy
1,0.9491666666666667,0.6916666666666667
2,0.7375,0.6416666666666667
3,0.9808333333333333,0.6833333333333333
4,0.9791666666666667,0.65
5,0.9525,0.625
