epochs,kfold_acc,test_accuracy
1,0.8583333333333334,0.6416666666666667
2,0.8925000000000001,0.5916666666666667
3,0.9658333333333333,0.6583333333333333
4,0.7891666666666666,0.5666666666666667
5,0.8208333333333334,0.6166666666666667
6,0.9425000000000001,0.6666666666666666
7,0.9766666666666666,0.6333333333333333
8,0.9824999999999999,0.6666666666666666
9,0.7449999999999999,0.5666666666666667
10,0.9425000000000001,0.6916666666666667
