HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.7380414312617702,0.7383333333333334,0.7357004813198336,8.321349807580312,0.68125
1,0.7415290299314822,0.7414815897136178,0.7418361411935702,15.918641265233358,0.65625
2,0.7772453644089621,0.7772535750766087,0.7761683995295694,23.3095272620519,0.66875
3,0.8048516059086598,0.8048348544111257,0.8042226210074686,30.341060932477316,0.68125
4,0.826530612244898,0.826530612244898,0.8261072188609347,37.26098831097285,0.65625
5,0.8381548228959476,0.8381725089881871,0.8376598076215778,44.95199374357859,0.6625
6,0.8357583550590428,0.8357601231352121,0.8351979318584695,52.37677908738454,0.6875
7,0.8552273498089402,0.855219978362784,0.85529973717853,59.94436530272166,0.6625
8,0.8592207221921739,0.8592238421955404,0.8590014473065628,66.42836076815924,0.6625
9,0.855952380952381,0.855952380952381,0.856049027925385,73.01629899740219,0.675
10,0.859150867051332,0.8591622711462753,0.8588308493624947,81.25889217058817,0.65
11,0.8728761069942157,0.872875756502704,0.8727161009583473,89.599054590861,0.65625
12,0.8715329973051544,0.8715291922409196,0.8714977595840045,95.3354626139005,0.6875
