HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
8,0.513888888888889,0.5180457753170213,0.4894074870803272,11.969107222557067,0.45
9,0.5602777777777778,0.5625063010210056,0.54336249198738,14.060354936122895,0.5333333333333333
10,0.5659090909090909,0.5676648387103189,0.5605126097635976,15.140730925401051,0.4666666666666667
11,0.5930555555555556,0.5913139251971783,0.589798718933228,16.307508238156636,0.48333333333333334
12,0.5944444444444444,0.5949425039278287,0.5933474072748224,17.533524012565614,0.5166666666666667
13,0.6061507936507937,0.6072821997554916,0.6069644104896511,20.26865499416987,0.475
14,0.5998148148148148,0.5997436126701109,0.595691938424466,20.464672088623047,0.4583333333333333
15,0.5963541666666666,0.5972642496536023,0.5946992312294828,22.220465381940205,0.5
