HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
128,0.7270833333333333,0.7270833333333333,0.728008864269221,1.6010725299517314,0.5916666666666667
256,0.75,0.75,0.7451496179794976,1.969484313329061,0.6166666666666667
512,0.7791666666666666,0.7791666666666666,0.7781083744988074,2.515568566322327,0.6166666666666667
1024,0.8125,0.8125,0.8109058662061575,3.9758224924405416,0.7333333333333333
2048,0.8291666666666666,0.8291666666666666,0.8299027559532597,5.9057532032330835,0.6833333333333333
