HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
128,0.9916666666666668,0.990909090909091,0.9910785755125378,1.5297079682350159,0.625
256,0.95625,0.9549975986657021,0.9569552344059691,1.7070833404858907,0.6416666666666667
512,0.9729166666666667,0.9718325008325008,0.9717705152896314,2.2036112984021505,0.675
1024,0.9708333333333332,0.9728719556305763,0.9707485216719401,3.5075944224993387,0.6583333333333333
2048,0.9708333333333332,0.9691141349072383,0.9699059674622943,6.2053947925567625,0.6833333333333333
