HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
[],0.9388888888888889,0.9364901115601916,0.9363113022574598,1.7653422077496848,0.5666666666666667
[0.1],0.8125,0.8128768911430072,0.8097670212360673,3.0900182565053305,0.5916666666666667
"[0.1, 0.1]",0.8268518518518517,0.8260126191705419,0.8248536882868736,4.214739159742991,0.6416666666666667
"[0.1, 0.1, 0.1]",0.8034722222222221,0.8023813444901083,0.8010906879612689,5.870092876752218,0.6166666666666667
"[0.1, 0.1, 0.1, 0.1]",0.8294444444444444,0.8287423398280633,0.8287496107859067,7.130710951487223,0.6166666666666667
"[0.1, 0.1, 0.1, 0.1, 0.1]",0.8245370370370371,0.8255703562115911,0.8243606305729487,8.326387468973795,0.6166666666666667
