HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
[],0.9277777777777778,0.9322680259608177,0.9281574287310985,1.6315111557642619,0.625
[0.1],0.8027777777777778,0.8067470803868746,0.8007490760675884,2.8824264725049336,0.6666666666666666
"[0.1, 0.1]",0.826851851851852,0.8243310337626433,0.8247835191878613,4.363585193951924,0.6333333333333333
"[0.1, 0.1, 0.1]",0.7868055555555555,0.7875382421902405,0.7829744705636426,5.648634568850199,0.65
"[0.1, 0.1, 0.1, 0.1]",0.8016666666666665,0.801266155995361,0.8017218871089149,7.053126267592112,0.65
"[0.1, 0.1, 0.1, 0.1, 0.1]",0.8162037037037037,0.8177468337787651,0.8152605889796666,8.925284290313721,0.575
