HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
[],0.9416666666666668,0.9452479766610201,0.9430868668799703,1.6808186213175456,0.6416666666666667
[0.1],0.8305555555555555,0.8303283080191749,0.8323106828882322,2.9855602264404295,0.65
"[0.1, 0.1]",0.8222222222222222,0.8194672896371769,0.8199469604540862,4.410701517264048,0.6333333333333333
"[0.1, 0.1, 0.1]",0.8347222222222221,0.8343676492501778,0.8325957166257864,5.523405532042186,0.6416666666666667
"[0.1, 0.1, 0.1, 0.1]",0.8205555555555556,0.8188163347701976,0.8184808974968251,6.822471459706624,0.6416666666666667
"[0.1, 0.1, 0.1, 0.1, 0.1]",0.8175925925925928,0.8190869011496844,0.8161160897430975,8.269571300347646,0.5916666666666667
