HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
[],0.9,0.9046007599697532,0.8989290961935374,1.6586438377698263,0.575
[0.316],0.7722222222222223,0.773572559224543,0.7672071753012869,2.9573140660921733,0.65
"[0.316, 0.316]",0.7796296296296296,0.780490145068893,0.7782547840022443,4.493785818417867,0.6916666666666667
"[0.316, 0.316, 0.316]",0.775,0.7757974860777594,0.7731742456936017,5.8851306438446045,0.6416666666666667
"[0.316, 0.316, 0.316, 0.316]",0.7688888888888888,0.7669319987019352,0.7656175073436922,7.086817276477814,0.6166666666666667
"[0.316, 0.316, 0.316, 0.316, 0.316]",0.7601851851851852,0.7600989717544028,0.7574674542323274,8.434437974294026,0.625
