HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
[],0.9277777777777778,0.930113720493398,0.9280652280123635,1.608005658785502,0.6416666666666667
[0.316],0.7680555555555555,0.7710710159685201,0.7696728817172612,2.7507758061091105,0.6833333333333333
"[0.316, 0.316]",0.7935185185185185,0.7923637577882274,0.7906840772541509,4.2097116390864056,0.5916666666666667
"[0.316, 0.316, 0.316]",0.7534722222222222,0.752632186006905,0.7528759925320089,5.443930304050445,0.6416666666666667
"[0.316, 0.316, 0.316, 0.316]",0.7511111111111111,0.7518662816004804,0.750401533814646,7.039405194918315,0.7166666666666667
"[0.316, 0.316, 0.316, 0.316, 0.316]",0.7458333333333333,0.7458599414702227,0.7445136153361978,8.649023246765136,0.675
