HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
[],0.925,0.9284380712447243,0.9221125197282332,1.5857901533444723,0.6083333333333333
[0.316],0.7638888888888888,0.7708877766811237,0.7651775953690102,2.8214914480845135,0.5833333333333334
"[0.316, 0.316]",0.7564814814814814,0.7542852753890501,0.7544369305253207,4.196879621346792,0.625
"[0.316, 0.316, 0.316]",0.7909722222222222,0.7935751810078079,0.7888167485355753,6.003172294298808,0.6333333333333333
"[0.316, 0.316, 0.316, 0.316]",0.7405555555555556,0.7402291821531243,0.737625688929094,7.529081312815348,0.6583333333333333
"[0.316, 0.316, 0.316, 0.316, 0.316]",0.7666666666666667,0.76835185425449,0.7649614809837008,9.068473494052887,0.6833333333333333
