HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
hamming,0.8083333333333332,0.8083333333333333,0.8085707414112088,2.527389673391978,0.675
hanning,0.8104166666666668,0.8104166666666668,0.809838474791792,2.499634571870168,0.65
blackman,0.7854166666666667,0.7854166666666667,0.7850463695252183,3.150469970703125,0.675
rectangular,0.8041666666666668,0.8041666666666668,0.8031267366104602,2.4828447620073955,0.6416666666666667
triangular,0.78125,0.78125,0.7799282670259873,2.527759031454722,0.675
