HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
hamming,0.8104166666666668,0.8104166666666668,0.8094259651540844,2.8198357462882995,0.6
hanning,0.8020833333333334,0.8020833333333334,0.8002348292955863,2.5313726822535196,0.6833333333333333
blackman,0.7958333333333334,0.7958333333333334,0.79414493134817,2.666635759671529,0.6833333333333333
rectangular,0.7854166666666667,0.7854166666666667,0.7849769588149613,2.4399755318959553,0.6083333333333333
triangular,0.7895833333333333,0.7895833333333334,0.7887812469869949,2.5566596746444703,0.6333333333333333
