HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
hamming,0.6813819855781612,0.681396833503575,0.6807021382393134,23.17727435429891,0.6375
hanning,0.6870831187226372,0.6870467313585291,0.6856322324600237,22.651975671450298,0.64375
blackman,0.675188320885913,0.6751468335035751,0.6727722791573658,22.907644474506377,0.6375
rectangular,0.6762892737574041,0.676232124616956,0.6753808340869508,22.54213378429413,0.64375
triangular,0.6859242209631727,0.6859103677221654,0.6840978512779833,23.38769906759262,0.63125
