HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
hamming,0.9708333333333334,0.9708150441512512,0.9695437005545287,2.186236011981964,0.6833333333333333
hanning,0.95625,0.958039397384225,0.9565297212766399,2.2836345354715983,0.6416666666666667
blackman,0.98125,0.9817175870106905,0.9812406882648566,2.383951739470164,0.6583333333333333
rectangular,0.9479166666666666,0.950177651413586,0.9474490984428054,2.348311448097229,0.6583333333333333
triangular,0.9875,0.9867561188811189,0.9867263030092113,2.4196550130844114,0.7
