HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.25,0.25,0.1,2.312666384379069,0.25
1,0.25,0.25,0.1,2.359277097384135,0.25
2,0.25,0.25,0.1,2.7312168995539348,0.25
3,0.25,0.25,0.1,2.767452053229014,0.25
4,0.78125,0.7812500000000001,0.7793611237646909,3.331289505958557,0.6583333333333333
5,0.7729166666666666,0.7729166666666666,0.7705428186776921,2.926495170593262,0.5833333333333334
6,0.7645833333333334,0.7645833333333333,0.7644679651009865,3.311153260866801,0.6583333333333333
7,0.7354166666666667,0.7354166666666666,0.7326822672753239,3.211269974708557,0.65
8,0.7229166666666667,0.7229166666666667,0.7203891355817861,2.8949121673901876,0.6166666666666667
