HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.25,0.25,0.09918343769797651,1.5735544482866923,0.25
1,0.25,0.25,0.09918343769797651,1.508236002922058,0.25
2,0.25,0.25,0.09918343769797651,1.5668059865633646,0.25
3,0.9333333333333333,0.9347005356819935,0.9326965189089931,1.7409477233886719,0.65
4,0.9472222222222222,0.950694242193098,0.9468126744356461,1.676735273996989,0.6416666666666667
5,0.9416666666666667,0.9438986299741448,0.9407133278161707,1.672215704123179,0.6333333333333333
6,0.9555555555555555,0.95734508991517,0.9553508820619762,1.7102986097335815,0.6583333333333333
7,0.913888888888889,0.9184273740180491,0.9137425951077072,1.6843472242355346,0.6
8,0.9277777777777777,0.9304492825491615,0.9268837332856874,1.7487223029136658,0.625
