HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.25,0.25,0.09918343769797651,1.9576889793078105,0.25
1,0.25,0.25,0.09918343769797651,1.798878264427185,0.25
2,0.25,0.25,0.09918343769797651,1.7949833432833353,0.25
3,0.9416666666666668,0.9430699958889317,0.939526099480959,1.882586987813314,0.6
4,0.9333333333333333,0.9363210498296816,0.9334250916310018,1.8796963572502137,0.5916666666666667
5,0.9555555555555555,0.9546465595807702,0.9542125889268618,1.8277352531750997,0.65
6,0.9305555555555557,0.9328926462235959,0.9304888326774273,1.8679168144861857,0.5833333333333334
7,0.9333333333333332,0.9339452303353906,0.9317938110561851,1.8152920762697855,0.6
8,0.925,0.9257090989263052,0.9238422428524518,1.629902998606364,0.6583333333333333
