HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.25,0.25,0.09918343769797651,1.7274028182029724,0.25
1,0.25,0.25,0.09918343769797651,1.8162924249966939,0.25
2,0.25,0.25,0.09918343769797651,1.657923690478007,0.25
3,0.9277777777777777,0.9313920918898037,0.9263940480113849,1.806276309490204,0.5333333333333333
4,0.9583333333333334,0.9598384795982049,0.9574911492039917,1.794267205397288,0.65
5,0.9111111111111111,0.918276254871271,0.9093146827652878,1.9384941856066387,0.5583333333333333
6,0.9305555555555556,0.9333430101983238,0.9288613533168494,1.933283797899882,0.4583333333333333
7,0.9194444444444445,0.9226486833898665,0.9197319333654755,1.7204753716786703,0.6083333333333333
8,0.9277777777777778,0.9222480152174594,0.9242331754376533,1.835020081202189,0.6
