HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.25,0.25,0.09918343769797651,1.6014805515607198,0.25
1,0.25,0.25,0.09918343769797651,1.5985089858373007,0.25
2,0.25,0.25,0.09918343769797651,1.5637890696525574,0.25
3,0.9472222222222223,0.9473315617766419,0.947096548239459,1.746720278263092,0.675
4,0.9388888888888889,0.9411818410534589,0.9381003962083238,1.780973462263743,0.65
5,0.95,0.9487537024379129,0.9485106782573638,1.7732860922813416,0.6
6,0.9277777777777778,0.9285104312163808,0.9254326726128728,1.7394883394241334,0.6083333333333333
7,0.925,0.925999978123834,0.9258817719117175,1.7299975355466206,0.5916666666666667
8,0.9083333333333332,0.9079157028770874,0.9065496128124504,1.8347315748532613,0.5833333333333334
