HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.25,0.25,0.09918343769797651,1.582958169778188,0.25
1,0.25,0.25,0.09918343769797651,1.5656882007916768,0.25
2,0.25,0.25,0.09918343769797651,1.5735618472099304,0.25
3,0.9416666666666668,0.9428517192189961,0.9405153853099094,1.6942066510518392,0.6
4,0.9527777777777778,0.9555140073503917,0.952421145427258,1.6046242396036783,0.65
5,0.9527777777777778,0.9543667035672184,0.952731302636954,1.6062395413716635,0.6
6,0.9138888888888888,0.915618994373285,0.9117205367893142,1.6335772593816122,0.6
7,0.9277777777777778,0.9282741704441293,0.9269026139036249,1.6111339330673218,0.55
8,0.9472222222222222,0.9473942140478687,0.946156261131365,1.5699623545010886,0.5916666666666667
