HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.25,0.25,0.09918343769797651,1.5386594136555989,0.25
1,0.25,0.25,0.09918343769797651,1.5235925356547038,0.25
2,0.25,0.25,0.09918343769797651,1.7022062381108602,0.25
3,0.9527777777777778,0.954454695285645,0.951981848063902,1.7051190892855326,0.5833333333333334
4,0.9472222222222222,0.9527120914935561,0.94850257284786,1.7847902218500773,0.65
5,0.95,0.9529013881920566,0.9488965199642825,1.7317063291867574,0.675
6,0.9388888888888889,0.9451934492852685,0.9383270457859249,1.6984793742497761,0.6
7,0.9166666666666667,0.9216569193900428,0.9174227020690161,1.7611370126406352,0.575
8,0.9194444444444445,0.9241884850466086,0.9182248836512951,1.657206658522288,0.6583333333333333
