HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
0,0.25,0.25,0.1,2.4897019902865094,0.25
1,0.25,0.25,0.1,2.3319050908088683,0.25
2,0.25,0.25,0.1,2.318628251552582,0.25
3,0.25,0.25,0.1,2.4077250440915425,0.25
4,0.7708333333333333,0.7708333333333333,0.770238829373083,2.8472076495488485,0.6166666666666667
5,0.79375,0.79375,0.7908698992179449,2.984951674938202,0.6333333333333333
6,0.775,0.7749999999999999,0.7701865843697163,2.8578932801882426,0.6583333333333333
7,0.74375,0.74375,0.7419034338975733,2.5745556275049846,0.575
8,0.6874999999999999,0.6874999999999999,0.6853933390828362,2.7025646646817525,0.625
