HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
2,0.675,0.675,0.6725122028200834,1.6688198765118918,0.5666666666666667
4,0.75,0.75,0.7492736322888447,2.217546073595683,0.5666666666666667
8,0.74375,0.74375,0.7415712816276919,2.1254932483037314,0.6166666666666667
12,0.7979166666666667,0.7979166666666666,0.7976946316690257,2.7773064335187274,0.675
16,0.7916666666666667,0.7916666666666667,0.7883003341222926,3.005240603288015,0.6583333333333333
20,0.80625,0.80625,0.8045782276023805,3.545549408594767,0.6666666666666666
24,0.79375,0.79375,0.7918116777884137,4.163415920734406,0.6916666666666667
28,0.7958333333333332,0.7958333333333332,0.7940339566070824,4.391805950800578,0.6833333333333333
32,0.8020833333333334,0.8020833333333334,0.8026401508028773,4.871081030368805,0.675
