HPs,mean_accuracy,mean_recall,mean_f1,time
4,0.9638888888888889,0.9624568275926972,0.9625622340934201,0.713129997253418
8,0.975,0.9728260869565217,0.9734696605185779,0.7099174499511719
12,0.9944444444444445,0.9941666666666666,0.9941666666666666,0.6831677277882894
