HPs,kfold_accuracy,kfold_recall,kfold_f1,time,test_accuracy
2,0.7166666666666667,0.7166666666666666,0.7196744931967831,2.9884738683700562,0.55
4,0.76875,0.76875,0.764637221464296,2.640838825702667,0.6083333333333333
8,0.7979166666666667,0.7979166666666666,0.7920609431309795,3.417363385359446,0.6916666666666667
12,0.7687499999999999,0.76875,0.7661236578166235,3.37387984196345,0.725
16,0.79375,0.79375,0.7934601591222238,3.4139421820640563,0.7166666666666667
20,0.8020833333333334,0.8020833333333334,0.801039164813476,4.092861127853394,0.6416666666666667
24,0.80625,0.80625,0.8069092978160197,4.13196972211202,0.6333333333333333
28,0.8229166666666666,0.8229166666666666,0.8221755275202061,5.185044884681702,0.625
32,0.7875,0.7875,0.7854271773591843,5.703535302480062,0.7083333333333334
